id,Captions,URL,Class,Class_1,Class_2,Class_3,Class_4,Class_5,Class_6,Class_7
793,a view of a city street from a car .,http://www.mufoncms.com/files_jeud8334j/87369_submitter_file2__F7E40C5D425C408192139C3F85078B2D.jpeg,"['cab, hack, taxi, taxicab']",cab, hack, taxi, taxicab,NA,NA,NA
794,a traffic light on a city street with buildings in the background,http://www.mufoncms.com/files_jeud8334j/87369_submitter_file3__35CBAD028919486C8C9B04837D3C0396.jpeg,"['cinema, movie theater, movie theatre, movie house, picture palace']",cinema, movie theater, movie theatre, movie house, picture palace,NA,NA
795,a close up of a person holding a cell phone,http://www.mufoncms.com/files_jeud8334j/87369_submitter_file4__0B3816017E774A398B68C10AD974066E.jpeg,['modem'],modem,NA,NA,NA,NA,NA,NA
796,a close up of a person holding a frisbee,http://www.mufoncms.com/files_jeud8334j/87365_submitter_file1__4A387273E7434AC38411825E53C1A01E.jpeg,['ping-pong ball'],ping-pong ball,NA,NA,NA,NA,NA,NA
797,a black and white photo of a street light .,http://www.mufoncms.com/files_jeud8334j/87365_submitter_file2__716FDDFD481C4AEAB0A06539CC4AD782.jpeg,"['nematode, nematode worm, roundworm']",nematode, nematode worm, roundworm,NA,NA,NA,NA
798,a woman is holding a large red and white umbrella .,http://www.mufoncms.com/files_jeud8334j/87365_submitter_file3__711C6870A97A454FBD3F9D396A7F1703.jpeg,"['nematode, nematode worm, roundworm']",nematode, nematode worm, roundworm,NA,NA,NA,NA
799,a close up of a tv on a table,http://www.mufoncms.com/files_jeud8334j/87365_submitter_file4__BB014718A7A1416A80A20F61F487DF66.jpeg,['jellyfish'],jellyfish,NA,NA,NA,NA,NA,NA
800,a group of people standing in a field with a kite .,http://www.mufoncms.com/files_jeud8334j/87363_submitter_file1__mufon.jpg,['menu'],menu,NA,NA,NA,NA,NA,NA
801,a view of a building with a clock on it .,http://www.mufoncms.com/files_jeud8334j/87343_submitter_file1__IMG30371.JPG,"['nematode, nematode worm, roundworm']",nematode, nematode worm, roundworm,NA,NA,NA,NA
802,a man standing on a skateboard on a sidewalk .,http://www.mufoncms.com/files_jeud8334j/87310_submitter_file1__dennisuap.jpg,"['bannister, banister, balustrade, balusters, handrail']",bannister, banister, balustrade, balusters, handrail,NA,NA
803,a woman standing in a field holding a kite .,http://www.mufoncms.com/files_jeud8334j/87310_submitter_file2__dennisuap1.jpg,"['sunglasses, dark glasses, shades']",sunglasses, dark glasses, shades,NA,NA,NA,NA
804,an airplane flying over a city at night .,http://www.mufoncms.com/files_jeud8334j/87293_submitter_file1__IMG1631.jpgUFO.jpg,['palace'],palace,NA,NA,NA,NA,NA,NA
805,a fire hydrant in the middle of a forest .,http://www.mufoncms.com/files_jeud8334j/87284_submitter_file2__PicsArt100904.20.22.jpg,['fountain'],fountain,NA,NA,NA,NA,NA,NA
806,a person flying a kite in a field .,http://www.mufoncms.com/files_jeud8334j/87284_submitter_file3__20171009154019Burst01.jpg,['geyser'],geyser,NA,NA,NA,NA,NA,NA
807,a group of people riding skis down a snow covered slope .,http://www.mufoncms.com/files_jeud8334j/87284_submitter_file4__PicsArt100904.23.16.jpg,['fountain'],fountain,NA,NA,NA,NA,NA,NA
808,a person on a snowboard in the snow .,http://www.mufoncms.com/files_jeud8334j/87284_submitter_file5__Screenshot20171009160616.png,['geyser'],geyser,NA,NA,NA,NA,NA,NA
809,a group of people skiing down a snow covered slope .,http://www.mufoncms.com/files_jeud8334j/87284_submitter_file6__PicsArt100904.29.24.jpg,['fountain'],fountain,NA,NA,NA,NA,NA,NA
810,a group of people standing on top of a snow covered slope .,http://www.mufoncms.com/files_jeud8334j/87284_submitter_file7__PicsArt100904.31.41.jpg,['fountain'],fountain,NA,NA,NA,NA,NA,NA
811,a fire hydrant in the middle of a forest .,http://www.mufoncms.com/files_jeud8334j/87284_submitter_file8__PicsArt100904.37.49.jpg,['fountain'],fountain,NA,NA,NA,NA,NA,NA
812,a view of a mountain range from inside a plane .,http://www.mufoncms.com/files_jeud8334j/87274_submitter_file1__1.JPG,['convertible'],convertible,NA,NA,NA,NA,NA,NA
813,a plane flying in the sky with a sky background,http://www.mufoncms.com/files_jeud8334j/87274_submitter_file2__2.png,"['warplane, military plane']",warplane, military plane,NA,NA,NA,NA,NA
814,a plane flying in the sky over a mountain .,http://www.mufoncms.com/files_jeud8334j/87274_submitter_file3__3.png,['wing'],wing,NA,NA,NA,NA,NA,NA
815,a plane is flying over a city street .,http://www.mufoncms.com/files_jeud8334j/87274_submitter_file4__4.png,['missile'],missile,NA,NA,NA,NA,NA,NA
816,a large jetliner flying through a cloudy blue sky .,http://www.mufoncms.com/files_jeud8334j/87268_submitter_file1__IMG6330.JPG,['jellyfish'],jellyfish,NA,NA,NA,NA,NA,NA
817,a blue and white bird flying in the sky .,http://www.mufoncms.com/files_jeud8334j/87268_submitter_file2__IMG6331.JPG,['balloon'],balloon,NA,NA,NA,NA,NA,NA
818,a blue and white bird flying in the sky .,http://www.mufoncms.com/files_jeud8334j/87268_submitter_file3__IMG6332.JPG,"['spotlight, spot']",spotlight, spot,NA,NA,NA,NA,NA
819,a plane flying over a large body of water .,http://www.mufoncms.com/files_jeud8334j/87268_submitter_file4__IMG6334.JPG,['balloon'],balloon,NA,NA,NA,NA,NA,NA
820,a man is standing in front of a mirror,http://www.mufoncms.com/files_jeud8334j/87261_submitter_file1__TiffanysUFO1Sept282017.jpeg,"['traffic light, traffic signal, stoplight']",traffic light, traffic signal, stoplight,NA,NA,NA,NA
821,a person holding a pair of scissors in their hands .,http://www.mufoncms.com/files_jeud8334j/87261_submitter_file2__TiffanysUFO2Sept282017.jpeg,['fountain'],fountain,NA,NA,NA,NA,NA,NA
822,a kite flying in the sky over a city .,http://www.mufoncms.com/files_jeud8334j/87225_submitter_file1__20171002121337.jpg,['obelisk'],obelisk,NA,NA,NA,NA,NA,NA
823,a kite flying in the sky over a city .,http://www.mufoncms.com/files_jeud8334j/87225_submitter_file2__20171002121337Kopie.jpg,"['lakeside, lakeshore']",lakeside, lakeshore,NA,NA,NA,NA,NA
824,a plane flying in the sky with a sky background,http://www.mufoncms.com/files_jeud8334j/87213_submitter_file1__86F8AAAF96CD44AEB9AFC320E1629359.jpeg,['crane'],crane,NA,NA,NA,NA,NA,NA
825,a red and white plane flying in the sky,http://www.mufoncms.com/files_jeud8334j/87213_submitter_file2__2FCF129F96DD40889A9A4E3BAF16C73A.jpeg,['crane'],crane,NA,NA,NA,NA,NA,NA
826,a plane flying in the air with a sky background,http://www.mufoncms.com/files_jeud8334j/87213_submitter_file3__31FC9F6830FF4A2FBFEE7BD47BDC58BB.jpeg,['crane'],crane,NA,NA,NA,NA,NA,NA
827,a person flying a kite in the sky .,http://www.mufoncms.com/files_jeud8334j/87210_submitter_file1__IMG07491.JPG,['ski'],ski,NA,NA,NA,NA,NA,NA
828,a bunch of bananas hanging from a tree .,http://www.mufoncms.com/files_jeud8334j/87195_submitter_file1__Capture6.PNG,"['nematode, nematode worm, roundworm']",nematode, nematode worm, roundworm,NA,NA,NA,NA
829,a bunch of flowers that are in the grass .,http://www.mufoncms.com/files_jeud8334j/87195_submitter_file2__Capture3.PNG,"['nematode, nematode worm, roundworm']",nematode, nematode worm, roundworm,NA,NA,NA,NA
830,a tree with a bunch of birds on it,http://www.mufoncms.com/files_jeud8334j/87195_submitter_file3__Capture4.PNG,"['nematode, nematode worm, roundworm']",nematode, nematode worm, roundworm,NA,NA,NA,NA
831,a close up of a pair of scissors,http://www.mufoncms.com/files_jeud8334j/87195_submitter_file4__Capture5.PNG,"['nematode, nematode worm, roundworm']",nematode, nematode worm, roundworm,NA,NA,NA,NA
832,a view of a bunch of birds flying in the sky .,http://www.mufoncms.com/files_jeud8334j/87195_submitter_file5__samestars.PNG,"['nematode, nematode worm, roundworm']",nematode, nematode worm, roundworm,NA,NA,NA,NA
833,a bunch of boats that are in the water .,http://www.mufoncms.com/files_jeud8334j/87185_submitter_file1__DSC0058.JPG,"['seashore, coast, seacoast, sea-coast']",seashore, coast, seacoast, sea-coast,NA,NA,NA
834,a group of people standing on top of a sandy beach .,http://www.mufoncms.com/files_jeud8334j/87185_submitter_file2__DSC0059.JPG,"['seashore, coast, seacoast, sea-coast']",seashore, coast, seacoast, sea-coast,NA,NA,NA
835,a bunch of boats that are in the water .,http://www.mufoncms.com/files_jeud8334j/87185_submitter_file3__DSC0060.JPG,"['seashore, coast, seacoast, sea-coast']",seashore, coast, seacoast, sea-coast,NA,NA,NA
836,a giraffe standing in the middle of a field .,http://www.mufoncms.com/files_jeud8334j/87183_submitter_file1__DSC0163cropped.JPG,"['promontory, headland, head, foreland']",promontory, headland, head, foreland,NA,NA,NA
837,a kite flying in the sky over a body of water .,http://www.mufoncms.com/files_jeud8334j/87183_submitter_file2__DSC0164cropped.JPG,"['promontory, headland, head, foreland']",promontory, headland, head, foreland,NA,NA,NA
838,a group of people flying kites in a park .,http://www.mufoncms.com/files_jeud8334j/87177_submitter_file1__IMG20170821101645.jpg,['barn'],barn,NA,NA,NA,NA,NA,NA
839,a group of birds flying over a street .,http://www.mufoncms.com/files_jeud8334j/87177_submitter_file2__IMG20170821101724.jpg,"['spotlight, spot']",spotlight, spot,NA,NA,NA,NA,NA
840,a group of people standing on top of a lush green field .,http://www.mufoncms.com/files_jeud8334j/87177_submitter_file3__PHOTO20170504143652.jpg,"['megalith, megalithic structure']",megalith, megalithic structure,NA,NA,NA,NA,NA
841,a group of people flying kites in a field .,http://www.mufoncms.com/files_jeud8334j/87177_submitter_file4__PHOTO20170504143659.jpg,['geyser'],geyser,NA,NA,NA,NA,NA,NA
842,a group of people standing on top of a lush green field .,http://www.mufoncms.com/files_jeud8334j/87177_submitter_file5__PHOTO20170504143706.jpg,"['megalith, megalithic structure']",megalith, megalithic structure,NA,NA,NA,NA,NA
843,a view of a mountain range from below .,http://www.mufoncms.com/files_jeud8334j/87170_submitter_file1__DSC2655.jpg,['alp'],alp,NA,NA,NA,NA,NA,NA
844,a bunch of kites flying in the sky,http://www.mufoncms.com/files_jeud8334j/87167_submitter_file3__Edgedetection6.10.17.png,"['parachute, chute']",parachute, chute,NA,NA,NA,NA,NA
845,a person is snowboarding down a snowy hill .,http://www.mufoncms.com/files_jeud8334j/87167_submitter_file4__imageenhanced.png,"['puck, hockey puck']",puck, hockey puck,NA,NA,NA,NA,NA
846,a building with a clock on the top of it .,http://www.mufoncms.com/files_jeud8334j/87167_submitter_file5__siteforsighting.png,"['brass, memorial tablet, plaque']",brass, memorial tablet, plaque,NA,NA,NA,NA
847,a close up of a pair of scissors,http://www.mufoncms.com/files_jeud8334j/87167_submitter_file6__2014streetviewwithimagenexttoit2017.png,['envelope'],envelope,NA,NA,NA,NA,NA,NA
848,an airplane flying over a snow covered mountain .,http://www.mufoncms.com/files_jeud8334j/87162_submitter_file2__20171003190159.jpg,['pole'],pole,NA,NA,NA,NA,NA,NA
849,a black and white photo of a street light .,http://www.mufoncms.com/files_jeud8334j/87162_submitter_file3__20170607050427.jpg,"['nematode, nematode worm, roundworm']",nematode, nematode worm, roundworm,NA,NA,NA,NA
850,a plane flying in the sky on a cloudy day .,http://www.mufoncms.com/files_jeud8334j/87147_submitter_file1__20171005091540.jpg,['kite'],kite,NA,NA,NA,NA,NA,NA
851,a close up of a pair of scissors,http://www.mufoncms.com/files_jeud8334j/87147_submitter_file2__Screenshot20171005134318.png,"['web site, website, internet site, site']",web site, website, internet site, site,NA,NA,NA
852,a view of a field with a clock tower .,http://www.mufoncms.com/files_jeud8334j/87145_submitter_file1__IMG19041.jpg,"['megalith, megalithic structure']",megalith, megalithic structure,NA,NA,NA,NA,NA
853,a couple of people are standing in a field,http://www.mufoncms.com/files_jeud8334j/87145_submitter_file2__IMG1904.jpg,['alp'],alp,NA,NA,NA,NA,NA,NA
854,a kite flying in the sky over a city .,http://www.mufoncms.com/files_jeud8334j/87145_submitter_file3__ScreenShot20171005at3.23.31AM.png,"['airship, dirigible']",airship, dirigible,NA,NA,NA,NA,NA
855,a kite flying in the sky with a sky background,http://www.mufoncms.com/files_jeud8334j/87145_submitter_file4__ScreenShot20171005at3.24.42AM.png,"['parachute, chute']",parachute, chute,NA,NA,NA,NA,NA
856,a person on a skateboard in the air .,http://www.mufoncms.com/files_jeud8334j/87139_submitter_file1__IMG20171005011707.jpg,"['spotlight, spot']",spotlight, spot,NA,NA,NA,NA,NA
857,a night time view of a city street .,http://www.mufoncms.com/files_jeud8334j/87139_submitter_file2__IMG20171005011715.jpg,"['spotlight, spot']",spotlight, spot,NA,NA,NA,NA,NA
858,a person jumping in the air on a skateboard .,http://www.mufoncms.com/files_jeud8334j/87139_submitter_file3__IMG20171005011816.jpg,"['nematode, nematode worm, roundworm']",nematode, nematode worm, roundworm,NA,NA,NA,NA
859,an airplane is flying over a bridge over a river .,http://www.mufoncms.com/files_jeud8334j/87138_submitter_file1__received446184215775222.jpeg,"['drilling platform, offshore rig']",drilling platform, offshore rig,NA,NA,NA,NA,NA
860,a plane flying in the sky with a sky background,http://www.mufoncms.com/files_jeud8334j/87131_submitter_file1__image.jpeg,['kite'],kite,NA,NA,NA,NA,NA,NA
861,a plane flying in the sky with a sky background,http://www.mufoncms.com/files_jeud8334j/87127_submitter_file1__9447FF3453AF49E997FE83CC59029AC6.jpeg,['volcano'],volcano,NA,NA,NA,NA,NA,NA
862,a plane flying in the sky with a sky background,http://www.mufoncms.com/files_jeud8334j/87127_submitter_file2__1772FB2236BD4C15BC686A5871D56C86.png,['kite'],kite,NA,NA,NA,NA,NA,NA
863,a person flying a kite in the sky .,http://www.mufoncms.com/files_jeud8334j/87127_submitter_file3__C26DC8B6B2F14E44A3DE9E35FF9F3523.png,"['parachute, chute']",parachute, chute,NA,NA,NA,NA,NA
864,a train traveling over a bridge over a river .,http://www.mufoncms.com/files_jeud8334j/87106_submitter_file1__IMG3064.JPG,"['cliff, drop, drop-off']",cliff, drop, drop-off,NA,NA,NA,NA
865,a stop sign that is on a pole .,http://www.mufoncms.com/files_jeud8334j/87106_submitter_file3__IMG3067.JPG,['knot'],knot,NA,NA,NA,NA,NA,NA
866,a black and white photo of a person holding a red and black umbrella,http://www.mufoncms.com/files_jeud8334j/87103_submitter_file1__IMG6233.JPG,['jellyfish'],jellyfish,NA,NA,NA,NA,NA,NA
867,a group of people standing on top of a sandy beach .,http://www.mufoncms.com/files_jeud8334j/86565_submitter_file1__k.jpg,"['seashore, coast, seacoast, sea-coast']",seashore, coast, seacoast, sea-coast,NA,NA,NA
868,a person flying a kite on the beach .,http://www.mufoncms.com/files_jeud8334j/86565_submitter_file2__a.jpg,"['submarine, pigboat, sub, U-boat']",submarine, pigboat, sub, U-boat,NA,NA,NA
869,a group of people on a beach flying a kite .,http://www.mufoncms.com/files_jeud8334j/86565_submitter_file3__j.jpg,"['seashore, coast, seacoast, sea-coast']",seashore, coast, seacoast, sea-coast,NA,NA,NA
870,a group of birds sitting on top of a pole .,http://www.mufoncms.com/files_jeud8334j/86560_submitter_file1__DSC01113.JPG,['volcano'],volcano,NA,NA,NA,NA,NA,NA
871,a city street filled with lots of traffic .,http://www.mufoncms.com/files_jeud8334j/86560_submitter_file2__DSC011133.JPG,"['traffic light, traffic signal, stoplight']",traffic light, traffic signal, stoplight,NA,NA,NA,NA
872,a bird flying over a body of water .,http://www.mufoncms.com/files_jeud8334j/86560_submitter_file3__DSC011134.JPG,['volcano'],volcano,NA,NA,NA,NA,NA,NA
873,a traffic light sitting on the side of a road .,http://www.mufoncms.com/files_jeud8334j/86560_submitter_file4__DSC01114.JPG,['volcano'],volcano,NA,NA,NA,NA,NA,NA
874,a large building with a large clock tower .,http://www.mufoncms.com/files_jeud8334j/86551_submitter_file1__HouseofNibiru.jpeg,"['picket fence, paling']",picket fence, paling,NA,NA,NA,NA,NA
875,a group of birds sitting on top of a roof .,http://www.mufoncms.com/files_jeud8334j/86551_submitter_file2__Nibiru.jpg,['plastic bag'],plastic bag,NA,NA,NA,NA,NA,NA
876,a black and white photo of a green plant .,http://www.mufoncms.com/files_jeud8334j/86551_submitter_file3__Nibiru2.jpg,['Granny Smith'],Granny Smith,NA,NA,NA,NA,NA,NA
877,a kite flying in the sky above a city .,http://www.mufoncms.com/files_jeud8334j/86550_submitter_file1__162.jpg,"['nematode, nematode worm, roundworm']",nematode, nematode worm, roundworm,NA,NA,NA,NA
878,a red and black bird is flying in the sky,http://www.mufoncms.com/files_jeud8334j/86550_submitter_file2__170.jpg,"['nematode, nematode worm, roundworm']",nematode, nematode worm, roundworm,NA,NA,NA,NA
879,a black and white photo of a clock tower .,http://www.mufoncms.com/files_jeud8334j/86550_submitter_file3__163.jpg,"['nematode, nematode worm, roundworm']",nematode, nematode worm, roundworm,NA,NA,NA,NA
880,a black and white photo of a person in a dark room .,http://www.mufoncms.com/files_jeud8334j/86550_submitter_file4__176.jpg,"['nematode, nematode worm, roundworm']",nematode, nematode worm, roundworm,NA,NA,NA,NA
881,a black and white photo of a black and white mouse,http://www.mufoncms.com/files_jeud8334j/86550_submitter_file5__164.jpg,"['nematode, nematode worm, roundworm']",nematode, nematode worm, roundworm,NA,NA,NA,NA
882,a black and white photo of a clock,http://www.mufoncms.com/files_jeud8334j/86550_submitter_file6__161.jpg,"['nematode, nematode worm, roundworm']",nematode, nematode worm, roundworm,NA,NA,NA,NA
883,a traffic light suspended over a city street .,http://www.mufoncms.com/files_jeud8334j/86550_submitter_file7__171.jpg,['barn'],barn,NA,NA,NA,NA,NA,NA
884,a train traveling through a lush green countryside .,http://www.mufoncms.com/files_jeud8334j/86531_submitter_file1__20170114113936.jpg,['alp'],alp,NA,NA,NA,NA,NA,NA
885,a herd of sheep grazing on a lush green hillside .,http://www.mufoncms.com/files_jeud8334j/86531_submitter_file2__20170114115117.jpg,"['valley, vale']",valley, vale,NA,NA,NA,NA,NA
886,a kite flying in the sky with a sky background,http://www.mufoncms.com/files_jeud8334j/86515_submitter_file1__Capture2.PNG,['jellyfish'],jellyfish,NA,NA,NA,NA,NA,NA
887,a plane flying in the sky with a sky background,http://www.mufoncms.com/files_jeud8334j/86515_submitter_file2__InkedCapture3LI.jpg,"['albatross, mollymawk']",albatross, mollymawk,NA,NA,NA,NA,NA
888,a yellow fire hydrant sitting on the side of a road .,http://www.mufoncms.com/files_jeud8334j/86515_submitter_file3__Capture2embossed.jpg,"['nematode, nematode worm, roundworm']",nematode, nematode worm, roundworm,NA,NA,NA,NA
889,a kite that is flying in the air .,http://www.mufoncms.com/files_jeud8334j/86515_submitter_file4__InkedCapture3embossedLI.jpg,"['nematode, nematode worm, roundworm']",nematode, nematode worm, roundworm,NA,NA,NA,NA
890,a kite flying in the sky with a sky background,http://www.mufoncms.com/files_jeud8334j/86514_submitter_file1__20170901173304.jpg,"['beacon, lighthouse, beacon light, pharos']",beacon, lighthouse, beacon light, pharos,NA,NA,NA
891,a person flying a kite in a cloudy sky .,http://www.mufoncms.com/files_jeud8334j/86514_submitter_file2__20170901173259.jpg,"['lakeside, lakeshore']",lakeside, lakeshore,NA,NA,NA,NA,NA
892,a group of kites flying in the sky .,http://www.mufoncms.com/files_jeud8334j/86514_submitter_file3__20170901173222.jpg,['balloon'],balloon,NA,NA,NA,NA,NA,NA
893,a group of kites flying in the sky .,http://www.mufoncms.com/files_jeud8334j/86514_submitter_file4__20170901173155.jpg,['balloon'],balloon,NA,NA,NA,NA,NA,NA
894,a person in the air on a skateboard .,http://www.mufoncms.com/files_jeud8334j/86409_submitter_file1__Rectangle.jpg,"['shield, buckler']",shield, buckler,NA,NA,NA,NA,NA
895,a man flying through the air while riding a skateboard .,http://www.mufoncms.com/files_jeud8334j/86402_submitter_file1__201708211222201.jpg,['vulture'],vulture,NA,NA,NA,NA,NA,NA
896,a person is flying a kite in the sky .,http://www.mufoncms.com/files_jeud8334j/86402_submitter_file2__20170821130017.jpg,"['spotlight, spot']",spotlight, spot,NA,NA,NA,NA,NA
897,a person is flying a kite in the sky .,http://www.mufoncms.com/files_jeud8334j/86402_submitter_file3__20170821130704.jpg,['bubble'],bubble,NA,NA,NA,NA,NA,NA
898,a blue and white photo of a person holding a frisbee .,http://www.mufoncms.com/files_jeud8334j/86402_submitter_file4__20170822165958.jpg,['Granny Smith'],Granny Smith,NA,NA,NA,NA,NA,NA
899,a kite flying in the sky over a city .,http://www.mufoncms.com/files_jeud8334j/86390_submitter_file1__20170831203420.jpg,['pole'],pole,NA,NA,NA,NA,NA,NA
900,a group of people standing on top of a lush green field .,http://www.mufoncms.com/files_jeud8334j/86390_submitter_file2__20170831203419.jpg,['pole'],pole,NA,NA,NA,NA,NA,NA
901,a black and white photo of a city street,http://www.mufoncms.com/files_jeud8334j/86378_submitter_file1__EclipseLightsreport1.jpg,['volcano'],volcano,NA,NA,NA,NA,NA,NA
902,a black and white photo of a plane flying in the sky .,http://www.mufoncms.com/files_jeud8334j/86378_submitter_file2__EclipseLightsreport2.jpg,['volcano'],volcano,NA,NA,NA,NA,NA,NA
903,a black and white photo of a bunch of birds .,http://www.mufoncms.com/files_jeud8334j/86378_submitter_file3__EclipseLightsreport3.jpg,"['nematode, nematode worm, roundworm']",nematode, nematode worm, roundworm,NA,NA,NA,NA
904,a close up of a person holding a baseball bat,http://www.mufoncms.com/files_jeud8334j/86375_submitter_file1__IMG3396.JPG,['ping-pong ball'],ping-pong ball,NA,NA,NA,NA,NA,NA
905,a kite flying in the sky with a sky background,http://www.mufoncms.com/files_jeud8334j/86375_submitter_file2__IMG3402.JPG,"['pool table, billiard table, snooker table']",pool table, billiard table, snooker table,NA,NA,NA,NA
906,a traffic light with a street sign on it .,http://www.mufoncms.com/files_jeud8334j/86375_submitter_file3__IMG3404.JPG,['digital clock'],digital clock,NA,NA,NA,NA,NA,NA
907,a flock of birds flying through a cloudy sky .,http://www.mufoncms.com/files_jeud8334j/86375_submitter_file4__IMG3409.JPG,['crane'],crane,NA,NA,NA,NA,NA,NA
908,a close up of a person holding a baseball bat,http://www.mufoncms.com/files_jeud8334j/86374_submitter_file1__IMG3396.JPG,['ping-pong ball'],ping-pong ball,NA,NA,NA,NA,NA,NA
909,a kite flying in the sky with a sky background,http://www.mufoncms.com/files_jeud8334j/86374_submitter_file2__IMG3402.JPG,"['pool table, billiard table, snooker table']",pool table, billiard table, snooker table,NA,NA,NA,NA
910,a traffic light with a street sign on it .,http://www.mufoncms.com/files_jeud8334j/86374_submitter_file3__IMG3404.JPG,['digital clock'],digital clock,NA,NA,NA,NA,NA,NA
911,a flock of birds flying through a cloudy sky .,http://www.mufoncms.com/files_jeud8334j/86374_submitter_file4__IMG3409.JPG,['crane'],crane,NA,NA,NA,NA,NA,NA
912,a plane flying over a body of water .,http://www.mufoncms.com/files_jeud8334j/86371_submitter_file1__IMG6607.PNG,"['radio telescope, radio reflector']",radio telescope, radio reflector,NA,NA,NA,NA,NA
913,a person is flying a kite on the beach .,http://www.mufoncms.com/files_jeud8334j/86371_submitter_file2__IMG6610.PNG,"['seashore, coast, seacoast, sea-coast']",seashore, coast, seacoast, sea-coast,NA,NA,NA
914,a view of a beach with a sunset in the background .,http://www.mufoncms.com/files_jeud8334j/86371_submitter_file3__IMG6608.PNG,"['seashore, coast, seacoast, sea-coast']",seashore, coast, seacoast, sea-coast,NA,NA,NA
915,a view of a plane in the sky .,http://www.mufoncms.com/files_jeud8334j/86371_submitter_file4__IMG6609.PNG,['wing'],wing,NA,NA,NA,NA,NA,NA
916,a traffic light suspended over a city street .,http://www.mufoncms.com/files_jeud8334j/86359_submitter_file1__IMG4498.JPG,['crane'],crane,NA,NA,NA,NA,NA,NA
917,a kite flying in the sky with a sky background,http://www.mufoncms.com/files_jeud8334j/86355_submitter_file1__cubeufo1.PNG,['volcano'],volcano,NA,NA,NA,NA,NA,NA
918,a blue and white plane is flying in the sky,http://www.mufoncms.com/files_jeud8334j/86355_submitter_file2__cubeufo2.PNG,['volcano'],volcano,NA,NA,NA,NA,NA,NA
919,a kite is flying high in the sky .,http://www.mufoncms.com/files_jeud8334j/86355_submitter_file3__cubeufo3.PNG,['bubble'],bubble,NA,NA,NA,NA,NA,NA
920,a group of people flying kites in a field .,http://www.mufoncms.com/files_jeud8334j/86349_submitter_file1__IMG1198.JPG,['geyser'],geyser,NA,NA,NA,NA,NA,NA
921,a plane flying in the sky with a sky background,http://www.mufoncms.com/files_jeud8334j/86349_submitter_file2__IMG1197.JPG,['geyser'],geyser,NA,NA,NA,NA,NA,NA
922,a plane is flying in the sky on a cloudy day .,http://www.mufoncms.com/files_jeud8334j/86349_submitter_file3__IMG1196.JPG,['geyser'],geyser,NA,NA,NA,NA,NA,NA
923,a plane flying in the sky with a sky background,http://www.mufoncms.com/files_jeud8334j/86349_submitter_file4__IMG1195.JPG,['geyser'],geyser,NA,NA,NA,NA,NA,NA
924,a group of people flying kites in a field .,http://www.mufoncms.com/files_jeud8334j/86345_submitter_file1__IMG5390.JPG,['torch'],torch,NA,NA,NA,NA,NA,NA
925,a group of people flying kites in a field .,http://www.mufoncms.com/files_jeud8334j/86345_submitter_file2__IMG5391.JPG,"['traffic light, traffic signal, stoplight']",traffic light, traffic signal, stoplight,NA,NA,NA,NA
926,a group of people flying kites in a field .,http://www.mufoncms.com/files_jeud8334j/86345_submitter_file3__IMG5392.JPG,"['traffic light, traffic signal, stoplight']",traffic light, traffic signal, stoplight,NA,NA,NA,NA
927,a fire hydrant in the middle of a street .,http://www.mufoncms.com/files_jeud8334j/86334_submitter_file1__IMG7361.JPG,"['patio, terrace']",patio, terrace,NA,NA,NA,NA,NA
928,a large airplane flying through a blue sky .,http://www.mufoncms.com/files_jeud8334j/86333_submitter_file1__LisbonJuly302017.JPG,['airliner'],airliner,NA,NA,NA,NA,NA,NA
929,a large passenger jet flying through a blue sky .,http://www.mufoncms.com/files_jeud8334j/86333_submitter_file2__DSC8168.JPG,['airliner'],airliner,NA,NA,NA,NA,NA,NA
930,a large jetliner flying through a blue sky .,http://www.mufoncms.com/files_jeud8334j/86333_submitter_file3__DSC8171.JPG,['airliner'],airliner,NA,NA,NA,NA,NA,NA
931,a plane flying in the sky with a sky background,http://www.mufoncms.com/files_jeud8334j/86324_submitter_file1__IMG1350.JPG,['jellyfish'],jellyfish,NA,NA,NA,NA,NA,NA
932,a crowd of people standing on top of a lush green field .,http://www.mufoncms.com/files_jeud8334j/86319_submitter_file1__IMG3808.JPG,['palace'],palace,NA,NA,NA,NA,NA,NA
933,a large body of water with boats in it,http://www.mufoncms.com/files_jeud8334j/86301_submitter_file1__27aug201704h55m49sPM2.JPG,"['seashore, coast, seacoast, sea-coast']",seashore, coast, seacoast, sea-coast,NA,NA,NA
934,a large body of water with boats in it,http://www.mufoncms.com/files_jeud8334j/86301_submitter_file2__27aug201704h55m49sPM3.JPG,"['seashore, coast, seacoast, sea-coast']",seashore, coast, seacoast, sea-coast,NA,NA,NA
935,a person is flying a kite in the air .,http://www.mufoncms.com/files_jeud8334j/86284_submitter_file1__IMG3346.PNG,"['cliff, drop, drop-off']",cliff, drop, drop-off,NA,NA,NA,NA
936,a clock tower in the middle of a city .,http://www.mufoncms.com/files_jeud8334j/86277_submitter_file1__20170821144106resized.jpg,"['bell cote, bell cot']",bell cote, bell cot,NA,NA,NA,NA,NA
937,a clock tower in the middle of a city .,http://www.mufoncms.com/files_jeud8334j/86277_submitter_file2__20170821144327resized.jpg,"['bell cote, bell cot']",bell cote, bell cot,NA,NA,NA,NA,NA
938,a kite flying in the sky over a city .,http://www.mufoncms.com/files_jeud8334j/86277_submitter_file3__20170821144132resized.jpg,['crane'],crane,NA,NA,NA,NA,NA,NA
